Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcodes,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Age group (product.metafields.shopify.age-group),Body area (product.metafields.shopify.body-area),Color (product.metafields.shopify.color-pattern),Cosmetic finish (product.metafields.shopify.cosmetic-finish),Cosmetic function (product.metafields.shopify.cosmetic-function),Dispenser type (product.metafields.shopify.dispenser-type),Fragrance (product.metafields.shopify.fragrance),Gift set format (product.metafields.shopify.gift-set-format),Material (product.metafields.shopify.material),Occasion (product.metafields.shopify.occasion),Olfactory family (product.metafields.shopify.olfactory-family),Package type (product.metafields.shopify.package-type),Product form (product.metafields.shopify.product-form),Scent (product.metafields.shopify.scent),Season (product.metafields.shopify.season),Size (product.metafields.shopify.size),Skin care effect (product.metafields.shopify.skin-care-effect),Target gender (product.metafields.shopify.target-gender),Texture (product.metafields.shopify.texture),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
maison-veil-scent-plug-in,,,,,,,,,black,,,couture-veil-a-delicate-veil-of-luminous-florals-and-soft-musk-that-effortlessly-elevates-any-room,,,,,,0.0,shopify,20,deny,manual,120.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,30.00,
maison-veil-scent-plug-in,,,,,,,,,white,,,solar-eclat-radiant-citrus-and-blooming-florals-create-a-bright-sunlit-atmosphere,,,,,,0.0,shopify,20,deny,manual,120.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,30.00,
maison-veil-scent-plug-in,,,,,,,,,white,,,eclat-marine-fresh-marine-accords-and-smooth-woods-evoke-the-serenity-of-an-ocean-breeze,,,,,,0.0,shopify,20,deny,manual,120.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,30.00,
maison-veil-scent-plug-in,,,,,,,,,white,,,nocturne-royale-an-opulent-fusion-of-oud-woods-and-musk-designed-for-timeless-sophistication,,,,,,0.0,shopify,20,deny,manual,120.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,30.00,
maison-veil-scent-plug-in,,,,,,,,,white,,,velours-osmanthus-for-a-more-french-luxury-feel-apricot-osmanthus-petals-soft-tea-and-white-musk-elegant-airy-and-sophisticated,,,,,,0.0,shopify,20,deny,manual,120.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,30.00,
maison-veil-scent-plug-in,,,,,,,,,black,,,solar-eclat-radiant-citrus-and-blooming-florals-create-a-bright-sunlit-atmosphere,,,,,,0.0,shopify,20,deny,manual,120.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,30.00,
maison-veil-scent-plug-in,,,,,,,,,black,,,eclat-marine-fresh-marine-accords-and-smooth-woods-evoke-the-serenity-of-an-ocean-breeze,,,,,,0.0,shopify,20,deny,manual,120.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,30.00,
maison-veil-scent-plug-in,,,,,,,,,black,,,nocturne-royale-an-opulent-fusion-of-oud-woods-and-musk-designed-for-timeless-sophistication,,,,,,0.0,shopify,20,deny,manual,120.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,30.00,
maison-veil-scent-plug-in,,,,,,,,,black,,,velours-osmanthus-for-a-more-french-luxury-feel-apricot-osmanthus-petals-soft-tea-and-white-musk-elegant-airy-and-sophisticated,,,,,,0.0,shopify,20,deny,manual,120.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,30.00,
maison-veil-scent-tower,Maison Veil Scent Tower,<p>Maison Veil Scent Tower Diffuser includes 120 ml oil tank </p>,Maison Veil ,Home & Garden > Decor > Home Fragrance Accessories > Fragrance Diffusers > Electric Diffusers,"","",true,Maison Veil Scent Tower,White,,Scent,Couture Veil - A delicate veil of luminous florals and soft musk that effortlessly elevates any room.,,,,,,0.0,shopify,29,deny,manual,150.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0871/0576/5650/files/089ACC75-2348-4886-9F2F-4CAD5DDBDE8D.jpg?v=1756543506,1,"",false,,,,,,,,,,,,,,,,,,,,,,,lb,,50.00,active
maison-veil-scent-tower,,,,,,,,,Black,,,Couture Veil - A delicate veil of luminous florals and soft musk that effortlessly elevates any room.,,,,,,0.0,shopify,20,deny,manual,150.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,50.00,
maison-veil-scent-tower,,,,,,,,,Gold,,,Couture Veil - A delicate veil of luminous florals and soft musk that effortlessly elevates any room.,,,,,,0.0,shopify,15,deny,manual,150.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,50.00,
maison-veil-scent-tower,,,,,,,,,White,,,"Solar Éclat Radiant citrus and blooming florals create a bright, sunlit atmosphere.",,,,,,0.0,shopify,50,deny,manual,150.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,50.00,
maison-veil-scent-tower,,,,,,,,,Black,,,"Solar Éclat Radiant citrus and blooming florals create a bright, sunlit atmosphere.",,,,,,0.0,shopify,0,deny,manual,150.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,50.00,
maison-veil-scent-tower,,,,,,,,,Gold,,,"Solar Éclat Radiant citrus and blooming florals create a bright, sunlit atmosphere.",,,,,,0.0,shopify,0,deny,manual,150.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,50.00,
maison-veil-scent-tower,,,,,,,,,White,,,Éclat Marine Fresh marine accords and smooth woods evoke the serenity of an ocean breeze.,,,,,,0.0,shopify,50,deny,manual,150.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,50.00,
maison-veil-scent-tower,,,,,,,,,Black,,,Éclat Marine Fresh marine accords and smooth woods evoke the serenity of an ocean breeze.,,,,,,0.0,shopify,0,deny,manual,150.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,50.00,
maison-veil-scent-tower,,,,,,,,,Gold,,,Éclat Marine Fresh marine accords and smooth woods evoke the serenity of an ocean breeze.,,,,,,0.0,shopify,0,deny,manual,150.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,50.00,
maison-veil-scent-tower,,,,,,,,,White,,,"Nocturne Royale An opulent fusion of oud, woods, and musk designed for timeless sophistication.",,,,,,0.0,shopify,50,deny,manual,150.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,50.00,
maison-veil-scent-tower,,,,,,,,,Black,,,"Nocturne Royale An opulent fusion of oud, woods, and musk designed for timeless sophistication.",,,,,,0.0,shopify,0,deny,manual,150.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,50.00,
maison-veil-scent-tower,,,,,,,,,Gold,,,"Nocturne Royale An opulent fusion of oud, woods, and musk designed for timeless sophistication.",,,,,,0.0,shopify,0,deny,manual,150.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,50.00,
maison-veil-scent-tower,,,,,,,,,White,,,Velours Osmanthus for a more French luxury feel),,,,,,0.0,shopify,50,deny,manual,150.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,50.00,
maison-veil-scent-tower,,,,,,,,,Black,,,Velours Osmanthus for a more French luxury feel),,,,,,0.0,shopify,0,deny,manual,150.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,50.00,
maison-veil-scent-tower,,,,,,,,,Gold,,,Velours Osmanthus for a more French luxury feel),,,,,,0.0,shopify,0,deny,manual,150.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,50.00,
untitled-aug30_13-44,Untitled Aug30_13:44,,Maison Veil ,,"","",false,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,0.00,,true,true,,,,,"",,,,false,,,,,,,,,,,,,,,,,,,,,,,lb,,,draft
hibiscus-halo,Hibiscus Halo,"<p><span>Radiant florals intertwine with soft, juicy fruit and a gentle touch of musk, creating an airy, luminous scent that feels like sunlight on petals. Hibiscus Halo is a whisper of luxury, leaving an elegant trail of softness wherever you go.</span></p>
<p><span>Vibe: Ethereal and feminine — like sun-drenched petals with a divine glow.</span></p>
<p><span>Type: Floral-Fruity Musk</span></p>",Maison Veil ,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,"",shoptok,true,Volume,10ml,,,,,,,,,0.0,shopify,50,deny,manual,20.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0871/0576/5650/files/4F692553-1BB0-4189-915E-92AA842AF4E8.jpg?v=1754707816,1,"",false,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0871/0576/5650/files/4F692553-1BB0-4189-915E-92AA842AF4E8.jpg?v=1754707816,lb,,,active
hibiscus-halo,,,,,,,,,30ml,,,,,,,,,0.0,shopify,50,deny,manual,35.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0871/0576/5650/files/4F692553-1BB0-4189-915E-92AA842AF4E8.jpg?v=1754707816,lb,,,
hibiscus-halo,,,,,,,,,50ml,,,,,,,,,0.0,shopify,50,deny,manual,50.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0871/0576/5650/files/4F692553-1BB0-4189-915E-92AA842AF4E8.jpg?v=1754707816,lb,,,
hibiscus-halo,,,,,,,,,100ml,,,,,,,,,0.0,shopify,50,deny,manual,95.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0871/0576/5650/files/4F692553-1BB0-4189-915E-92AA842AF4E8.jpg?v=1754707816,lb,,,
velvet-peach-flame,Velvet Peach Flame,"<p><span>Ripe, luscious peach meets the golden glow of sensual amber, resting on a silky, addictive base. Velvet Peach Flame wears like golden hour on your skin — warm, radiant, and impossible to forget.</span></p>
<p> </p>
<p><span>Vibe: Sultry, intoxicating, and flirtatious — a velvet peach drenched in golden warmth.</span></p>
<p><span>Type: Fruity-Amber</span></p>",Maison Veil ,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,"","",true,Volume,10ml,,,,,,,,,0.0,shopify,2,deny,manual,20.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0871/0576/5650/files/EC18C303-3946-49B4-B8EA-8BEAE8FAEA58.jpg?v=1754707440,1,"",false,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0871/0576/5650/files/EC18C303-3946-49B4-B8EA-8BEAE8FAEA58.jpg?v=1754707440,lb,,,active
velvet-peach-flame,,,,,,,,,30ml,,,,,,,,,0.0,shopify,1,deny,manual,35.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0871/0576/5650/files/EC18C303-3946-49B4-B8EA-8BEAE8FAEA58.jpg?v=1754707440,lb,,,
velvet-peach-flame,,,,,,,,,50ml,,,,,,,,,0.0,shopify,1,deny,manual,50.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0871/0576/5650/files/EC18C303-3946-49B4-B8EA-8BEAE8FAEA58.jpg?v=1754707440,lb,,,
velvet-peach-flame,,,,,,,,,100ml,,,,,,,,,0.0,shopify,2,deny,manual,95.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0871/0576/5650/files/EC18C303-3946-49B4-B8EA-8BEAE8FAEA58.jpg?v=1754707440,lb,,,
silken-tux,Silken Tux,"<p><span>Silken Tux blends white florals, musk, and a touch of creamy suede to create an elevated scent that’s refined yet undeniably sensual. A signature for modern elegance</span></p>
<p><span>Type: Powdery Floral-Musk</span></p>
<p><span>Vibe: Soft power — clean, confident, and effortlessly alluring</span></p>",Maison Veil ,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,"","",true,Volume,10ml,,,,,,,,,0.0,shopify,1,deny,manual,20.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0871/0576/5650/files/03532B43-A6E3-46C7-A4A4-645106FBC33E.jpg?v=1754707286,1,"",false,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0871/0576/5650/files/03532B43-A6E3-46C7-A4A4-645106FBC33E.jpg?v=1754707286,lb,,,active
silken-tux,,,,,,,,,30ml,,,,,,,,,0.0,shopify,0,deny,manual,35.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0871/0576/5650/files/31933EB3-7BF7-4B23-8320-469CF5DA8825.jpg?v=1754707053,2,"",,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0871/0576/5650/files/31933EB3-7BF7-4B23-8320-469CF5DA8825.jpg?v=1754707053,lb,,,
silken-tux,,,,,,,,,50ml,,,,,,,,,0.0,shopify,2,deny,manual,50.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0871/0576/5650/files/03532B43-A6E3-46C7-A4A4-645106FBC33E.jpg?v=1754707286,lb,,,
silken-tux,,,,,,,,,100ml,,,,,,,,,0.0,shopify,2,deny,manual,95.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0871/0576/5650/files/03532B43-A6E3-46C7-A4A4-645106FBC33E.jpg?v=1754707286,lb,,,
grimson-smoke,Crimson Smoke,"<p><span>Grimsson commands attention with its fusion of smoldering woods, rich leather, and an undercurrent of warm spice. It’s a scent that speaks in quiet confidence, leaving an unmistakable imprint of strength and sophistication</span></p>
<p><span>Type: Woody-Spiced Leather</span></p>
<p><span>Vibe: Darkly magnetic — power wrapped in rugged elegance</span></p>",Maison Veil ,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,"","",true,Volume,10ml,,,,,,,,,0.0,shopify,2,deny,manual,20.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0871/0576/5650/files/779A75D3-7889-4764-979C-26A600F6C0E2.jpg?v=1754706824,1,"",false,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0871/0576/5650/files/779A75D3-7889-4764-979C-26A600F6C0E2.jpg?v=1754706824,lb,,,active
grimson-smoke,,,,,,,,,30ml,,,,,,,,,0.0,shopify,2,deny,manual,35.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0871/0576/5650/files/779A75D3-7889-4764-979C-26A600F6C0E2.jpg?v=1754706824,lb,,,
grimson-smoke,,,,,,,,,50ml,,,,,,,,,0.0,shopify,2,deny,manual,50.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0871/0576/5650/files/779A75D3-7889-4764-979C-26A600F6C0E2.jpg?v=1754706824,lb,,,
grimson-smoke,,,,,,,,,100ml,,,,,,,,,0.0,shopify,2,deny,manual,95.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0871/0576/5650/files/779A75D3-7889-4764-979C-26A600F6C0E2.jpg?v=1754706824,lb,,,
vanilla-coco-tux,Vanilla Coco Tux,"<p>Lush coconut cream and soft vanilla meet refined musk in this wearable gourmand dream. Vanilla Coco Tux is sweet, smooth, and irresistibly stylish.</p>
<p><strong>Type</strong>: Gourmand Coconut-Musk</p>
<p><strong>Vibe</strong>: Chic and delicious - tropical indulgence meets warm sophistication.</p>",Maison Veil ,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,Perfume,"",true,Volume,10ml,,,,,,,,,0.0,shopify,49,deny,manual,20.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0871/0576/5650/files/6F09B065-7856-4EF0-9453-C8EF195A29D9.jpg?v=1754628101,1,"",false,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0871/0576/5650/files/6F09B065-7856-4EF0-9453-C8EF195A29D9.jpg?v=1754628101,lb,,,active
vanilla-coco-tux,,,,,,,,,30ml,,,,,,,,,0.0,shopify,50,deny,manual,35.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0871/0576/5650/files/6F09B065-7856-4EF0-9453-C8EF195A29D9.jpg?v=1754628101,lb,,,
vanilla-coco-tux,,,,,,,,,50ml,,,,,,,,,0.0,shopify,50,deny,manual,50.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0871/0576/5650/files/6F09B065-7856-4EF0-9453-C8EF195A29D9.jpg?v=1754628101,lb,,,
vanilla-coco-tux,,,,,,,,,100ml,,,,,,,,,0.0,shopify,50,deny,manual,95.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0871/0576/5650/files/6F09B065-7856-4EF0-9453-C8EF195A29D9.jpg?v=1754628101,lb,,,
new-gift-card-20,New Gift Card - $20,"",Maison Veil,Apparel & Accessories > Clothing > Clothing Tops,Perfume,"",true,rate,20,,,,,,,,,100.0,,0,deny,manual,20.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0871/0576/5650/files/image-1_ec6eb95d-da16-45a0-9aac-46de138acfd4.png?v=1754084495,1,"",false,New Gift Card - $20 | Maison Veil,,,,,,,,,,,,,,,,,,,,,,g,,,active
new-gift-card-20,,,,,,,,,50,,,,,,,,,100.0,,0,deny,manual,20.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
new-gift-card-20,,,,,,,,,100,,,,,,,,,100.0,,0,deny,manual,20.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
gift-card-20,Gift Card - $20,"",Maison Veil,Apparel & Accessories > Clothing > Clothing Tops,Perfume,"",true,rate,20,,,,,,,,,100.0,,0,deny,manual,20.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0871/0576/5650/files/image-1_30534f8c-50a0-4ce1-b798-6b84d4a00d5a.png?v=1754084378,1,"",false,Gift Card - $20 | Maison Veil,,,,,,,,,,,,,,,,,,,,,,g,,,active
gift-card-20,,,,,,,,,50,,,,,,,,,100.0,,0,deny,manual,20.00,,true,false,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
gift-card-20,,,,,,,,,100,,,,,,,,,100.0,,0,deny,manual,20.00,,true,false,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
eclipse-oud,Eclipse Oud,"<p>Bold and enigmatic, Eclipse Oud is a deep, smoldering fragrance that commands attention. Spiced cardamom and smoky black tea blend seamlessly into warm rosewood and opulent oud, creating a scent that is both powerful and alluring.</p>",Maison Veil,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,Perfume,"Black Tea, Oud, Rosewood, Spiced Cardamom",true,Volume,10ml,,,,,,,,,100.0,shopify,100,deny,manual,20.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0871/0576/5650/files/image-1_2288ed85-d39a-402d-8734-c2ea4855de79.png?v=1754084315,1,"",false,Eclipse Oud | Maison Veil,"Spiced Cardamom, Rosewood, Black Tea, Oud",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0871/0576/5650/files/image-1_2288ed85-d39a-402d-8734-c2ea4855de79.png?v=1754084315,g,,,active
eclipse-oud,,,,,,,,,30ml,,,,,,,,,100.0,shopify,99,deny,manual,35.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0871/0576/5650/files/image-1_2288ed85-d39a-402d-8734-c2ea4855de79.png?v=1754084315,g,,,
eclipse-oud,,,,,,,,,50ml,,,,,,,,,100.0,shopify,98,deny,manual,50.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0871/0576/5650/files/image-1_2288ed85-d39a-402d-8734-c2ea4855de79.png?v=1754084315,g,,,
eclipse-oud,,,,,,,,,100ml,,,,,,,,,100.0,shopify,100,deny,manual,95.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0871/0576/5650/files/image-1_2288ed85-d39a-402d-8734-c2ea4855de79.png?v=1754084315,g,,,
reverie-no-7,Reverie No. 7,"<p>A scent that feels like a daydream. Reverie No. 7 is a soft blend of French lavender and sweet almond blossom, kissed by fresh bergamot and warmed by creamy white woods. Tranquil, uplifting, and effortlessly elegant.</p>",Maison Veil,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,Perfume,"",true,Volume,10ml,,,,,,,,,100.0,,0,deny,manual,20.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0871/0576/5650/files/image-1_a2c0dbfa-8b49-46be-846a-0261b621ebe1.png?v=1754084238,1,"",false,Reverie No. 7 | Maison Veil,"Lavender, Almond Blossom, Bergamot, White Woods",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0871/0576/5650/files/image-1_a2c0dbfa-8b49-46be-846a-0261b621ebe1.png?v=1754084238,g,,,active
reverie-no-7,,,,,,,,,30ml,,,,,,,,,100.0,,0,deny,manual,35.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0871/0576/5650/files/image-1_a2c0dbfa-8b49-46be-846a-0261b621ebe1.png?v=1754084238,g,,,
reverie-no-7,,,,,,,,,50ml,,,,,,,,,100.0,,0,deny,manual,50.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0871/0576/5650/files/image-1_a2c0dbfa-8b49-46be-846a-0261b621ebe1.png?v=1754084238,g,,,
reverie-no-7,,,,,,,,,100ml,,,,,,,,,100.0,,0,deny,manual,95.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0871/0576/5650/files/image-1_a2c0dbfa-8b49-46be-846a-0261b621ebe1.png?v=1754084238,g,,,
crimson-smoke,Crimson Smoke,"<p>A seductive dance of fire and shadow. Crimson Smoke opens with bold cherry liqueur, fading into an intoxicating mix of incense and rich tobacco leaf. Sandalwood smooths the edges, making this scent dangerously addictive.</p>",Maison Veil,Apparel & Accessories > Clothing > Clothing Tops,Perfume,"Cherry Liqueur, Incense, Sandalwood, Tobacco Leaf",true,Size,10ml,,,,,,,,,100.0,shopify,100,deny,manual,20.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0871/0576/5650/files/image-1_3a6ea678-1f8c-4e45-92f4-15f0b0fd9262.png?v=1754084162,1,"",false,Crimson Smoke | Maison Veil,"Cherry Liqueur, Incense, Tobacco Leaf, Sandalwood",,,,,,,,,,,,,,,,,,,,,g,,20.00,active
crimson-smoke,,,,,,,,,30ml,,,,,,,,,100.0,shopify,99,deny,manual,35.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,g,,35.00,
crimson-smoke,,,,,,,,,50ml,,,,,,,,,100.0,shopify,99,deny,manual,50.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,g,,50.00,
crimson-smoke,,,,,,,,,100ml,,,,,,,,,100.0,shopify,100,deny,manual,95.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,g,,95.00,
luna-drift,Luna Drift,"<p>Ethereal and otherworldly, Luna Drift is like moonlight on water. The creamy tuberose melts into fresh coconut water and a touch of sea salt, while white amber adds a soft glow. A scent for dreamers.</p>",Maison Veil,Uncategorized,Perfume,"",true,Volume,10ml,,,,,,,,,100.0,,0,deny,manual,20.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0871/0576/5650/files/image-1_b3e28e6e-4028-402e-b89e-fd0aaedbfefd.png?v=1754084128,1,"",false,Luna Drift | Maison Veil,"Tuberose, Coconut Water, White Amber, Sea Salt",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0871/0576/5650/files/image-1_b3e28e6e-4028-402e-b89e-fd0aaedbfefd.png?v=1754084128,g,,,active
luna-drift,,,,,,,,,30ml,,,,,,,,,100.0,,-1,deny,manual,35.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0871/0576/5650/files/image-1_b3e28e6e-4028-402e-b89e-fd0aaedbfefd.png?v=1754084128,g,,,
luna-drift,,,,,,,,,50ml,,,,,,,,,100.0,,0,deny,manual,50.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0871/0576/5650/files/image-1_b3e28e6e-4028-402e-b89e-fd0aaedbfefd.png?v=1754084128,g,,,
luna-drift,,,,,,,,,100ml,,,,,,,,,100.0,,0,deny,manual,95.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0871/0576/5650/files/image-1_b3e28e6e-4028-402e-b89e-fd0aaedbfefd.png?v=1754084128,g,,,
noir-vanille,Noir Vanille,"<p>Decadent, sophisticated, and a little dangerous. Noir Vanille is a sultry mix of rich Madagascar vanilla, bittersweet dark chocolate, and smooth aged rum, deepened with smoky vetiver. A treat for the senses.</p>",Maison Veil,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,Perfume,"",true,Volume,20ml,,,,,,,,,100.0,,-1,deny,manual,20.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0871/0576/5650/files/image-1_125e7501-7b52-423d-99ca-8644071a5d8f.png?v=1754084054,1,"",false,Noir Vanille | Maison Veil,"Madagascar Vanilla, Dark Chocolate, Rum, Vetiver",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0871/0576/5650/files/image-1_125e7501-7b52-423d-99ca-8644071a5d8f.png?v=1754084054,g,,,active
noir-vanille,,,,,,,,,30ml,,,,,,,,,100.0,,-2,deny,manual,35.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0871/0576/5650/files/image-1_125e7501-7b52-423d-99ca-8644071a5d8f.png?v=1754084054,g,,,
noir-vanille,,,,,,,,,50ml,,,,,,,,,100.0,,0,deny,manual,50.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0871/0576/5650/files/image-1_125e7501-7b52-423d-99ca-8644071a5d8f.png?v=1754084054,g,,,
noir-vanille,,,,,,,,,100ml,,,,,,,,,100.0,,0,deny,manual,95.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0871/0576/5650/files/image-1_125e7501-7b52-423d-99ca-8644071a5d8f.png?v=1754084054,g,,,
